Name,Date,Location,Type,Region
Seattle Kraken vs. Nashville Predators,3/16/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Sounders FC vs. Colorado Rapids,3/16/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field
Native Portraiture: Power and Perception,Now through 3/17/2024 |  Tacoma Art Museum,Tacoma Art Museum,Tacoma Art Museum,Tacoma Art Museum
Places to Call Home: Settlements in the West,Now through 3/17/2024 |  Tacoma Art Museum,Tacoma Art Museum,Tacoma Art Museum,Tacoma Art Museum
Nobody Lives Here,Now through 3/17/2024 |  Wing Luke Museum,Wing Luke Museum,Wing Luke Museum,Wing Luke Museum
Rootabaga Country,3/8/2024 through 3/17/2024 |  Opera Center,Opera Center,Opera Center,Opera Center
Seattle Kraken vs. Buffalo Sabres,3/18/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Tacoma Stars vs. Empire Strykers,3/23/2024 |  accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center
Something’s Afoot,3/1/2024 through 3/24/2024 |  The 5th Avenue Theatre,The 5th Avenue Theatre,The 5th Avenue Theatre,The 5th Avenue Theatre
One Thousand Pieces,3/15/2024 through 3/24/2024 |  Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall
Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
Celebrate Holi! Spring Festival of Colors from South Asia,3/24/2024 |  Burke Museum,Burke Museum,Burke Museum,Burke Museum
Seattle Kraken vs. Montreal Canadiens,3/24/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Kraken vs. Anaheim Ducks,3/26/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Kraken vs. Anaheim Ducks,3/28/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Tim McGraw,3/29/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Harold and the Purple Crayon,3/23/2024 through 3/30/2024 |  Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall
Monster Jam,3/30/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field
Seattle Kraken vs. Dallas Stars,3/30/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Illuminate: Glass Art for Early Learners,Now through 3/31/2024 |  Museum of Glass,Museum of Glass,Museum of Glass,Museum of Glass
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024 |  Museum of History & Industry,Museum of History & Industry,Museum of History & Industry,Museum of History & Industry
Shine On Seattle,Now through 3/31/2024 |  Pioneer Square,Pioneer Square,Pioneer Square,Pioneer Square
Sanctuary City,3/1/2024 through 3/31/2024 |  Seattle Rep,Seattle Rep,Seattle Rep,Seattle Rep
Stew,3/15/2024 through 3/31/2024 |  ACT Theatre,ACT Theatre,ACT Theatre,ACT Theatre
Luis Miguel,4/4/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Taylor Raven and Duke Kim in Recital,4/4/2024 |  Opera Center,Opera Center,Opera Center,Opera Center
Jo Koy,4/5/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Copland Appalachian Spring,4/4/2024 through 4/6/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
Seattle Sounders FC vs. CF Montreal,4/6/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field
Tom Segura,4/6/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024 |  National Nordic Museum,National Nordic Museum,National Nordic Museum,National Nordic Museum
Beetlejuice,4/2/2024 through 4/7/2024 |  The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,The Paramount Theatre
Seattle Kraken vs. Arizona Coyotes,4/9/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Kraken vs. San Jose Sharks,4/11/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
The Percussion: Sounds from Home,4/12/2024 through 4/13/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024 |  Seattle Art Museum,Seattle Art Museum,Seattle Art Museum,Seattle Art Museum
The Moors,3/22/2024 through 4/14/2024 |  Seattle Public Theater,Seattle Public Theater,Seattle Public Theater,Seattle Public Theater
Mahler Symphony No. 3,4/11/2024 through 4/14/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
Best of the Northwest Spring Show,4/13/2024 through 4/14/2024 |  Magnuson Park,Magnuson Park,Magnuson Park,Magnuson Park
An Evening with Jinjoo Cho,4/19/2024 |  415 Westlake,415 Westlake,415 Westlake,415 Westlake
Dvorak Symphony No. 6,4/18/2024 through 4/20/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
Seattle Sounders FC vs. Vancouver Whitecaps FC,4/20/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field
The Seasons’ Canon,4/12/2024 through 4/21/2024 |  Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall
DRUM TAO 30th Anniversary,4/22/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
AJR,4/26/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Disney’s Aladdin,4/24/2024 through 4/28/2024 |  The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,The Paramount Theatre
Antarctic Symphony,4/25/2024 through 4/28/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
Noah Geller’s Playlist,5/3/2024 through 5/4/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
Broadway Spectacular,5/4/2024 |  Cornish Playhouse at Seattle Center,Cornish Playhouse at Seattle Center,Cornish Playhouse at Seattle Center,Cornish Playhouse at Seattle Center
Jessica Jackson Hutchins: Wrecked and Righteous,Now through 5/5/2024 |  Frye Art Museum,Frye Art Museum,Frye Art Museum,Frye Art Museum
The Lion Tells His Tale,5/1/2024 through 5/5/2024 |  Broadway Performance Hall,Broadway Performance Hall,Broadway Performance Hall,Broadway Performance Hall
Seattle Sounders FC vs. LA Galaxy,5/5/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field
Melanie Martinez,5/10/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024 |  Wing Luke Museum,Wing Luke Museum,Wing Luke Museum,Wing Luke Museum
Jaune Quick-to-See Smith: Memory Map,2/29/2024 through 5/12/2024 |  Seattle Art Museum,Seattle Art Museum,Seattle Art Museum,Seattle Art Museum
Fat Ham,4/12/2024 through 5/12/2024 |  Seattle Rep,Seattle Rep,Seattle Rep,Seattle Rep
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024 |  Seattle Children's Theatre,Seattle Children's Theatre,Seattle Children's Theatre,Seattle Children's Theatre
The Lehman Trilogy,4/26/2024 through 5/12/2024 |  ACT Theatre,ACT Theatre,ACT Theatre,ACT Theatre
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
Seattle Storm vs Minnesota Lynx,5/14/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Mother,5/17/2024 |  415 Westlake,415 Westlake,415 Westlake,415 Westlake
Barber Violin Concerto,5/16/2024 through 5/18/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
Seattle Sounders FC vs. Vancouver Whitecaps FC,5/18/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field
Seattle Storm vs. Indiana Fever,5/22/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
The Barber of Seville,5/4/2024 through 5/24/2024 |  Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall
Seattle Storm vs. Washington Mystics,5/25/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Sounders FC vs. Real Salt Lake,5/29/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field
Unriveled,5/10/2024 through 6/2/2024 |  Seattle Public Theater,Seattle Public Theater,Seattle Public Theater,Seattle Public Theater
Seattle Storm vs. Phoenix Mercury,6/4/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
George Balenchine’s Coppelia,5/31/2024 through 6/9/2024 |  Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall
Jan Lisiecki Plays Prokofiev,6/6/2024 through 6/9/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
Seattle Storm vs. Los Angeles Sparks,6/11/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Beethoven Symphony No. 5,6/13/2024 through 6/15/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
Elizabeth Malaska: All Be Your Mirror,Now through 6/16/2024 |  Seattle Art Museum,Seattle Art Museum,Seattle Art Museum,Seattle Art Museum
Joshua Bell Plays Elements Concerto,6/20/2024 through 6/22/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
Seattle Sounders FC vs. Minnesota United FC,6/22/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field
"Together Again, Again!",5/31/2024 through 6/23/2024 |  Seattle Rep,Seattle Rep,Seattle Rep,Seattle Rep
2024 KPMG Women’s PGA Championship,6/20/2024 through 6/23/2024 |  Sahalee Country Club,Sahalee Country Club,Sahalee Country Club,Sahalee Country Club
Lip Sync for Our Rights,6/22/2024 through 6/23/2024 |  Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall
Seattle Storm vs. Connecticut Sun,6/23/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Storm vs. Indiana Fever,6/27/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Company,6/23/2024 through 6/28/2024 |  The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,The Paramount Theatre
Seattle Storm vs. Dallas Wings,6/29/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Sounders FC vs. Chicago Fire FC,6/29/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024 |  Henry Art Gallery,Henry Art Gallery,Henry Art Gallery,Henry Art Gallery
Spring Awakening,6/7/2024 through 6/30/2024 |  The 5th Avenue Theatre,The 5th Avenue Theatre,The 5th Avenue Theatre,The 5th Avenue Theatre
Girl From The North Country,6/25/2024 through 6/30/2024 |  The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,The Paramount Theatre
Seattle Storm vs Dallas Wings,7/1/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Storm vs. Chicago Sky,7/5/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
"Anida Yoeu Ali: Hybrid Skin, Mythical Presence",Now through 7/7/2024 |  Seattle Asian Art Museum,Seattle Asian Art Museum,Seattle Asian Art Museum,Seattle Asian Art Museum
Seattle Storm vs.Chicago Sky,7/7/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Storm vs. Las Vegas Aces,7/10/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Storm vs. Minnesota Lynx,7/12/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Storm vs. Atlanta Dream,7/14/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Sounders FC vs. Los Angeles FC,7/20/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024 |  National Nordic Museum,National Nordic Museum,National Nordic Museum,National Nordic Museum
Clue,7/9/2024 through 7/21/2024 |  The 5th Avenue Theatre,The 5th Avenue Theatre,The 5th Avenue Theatre,The 5th Avenue Theatre
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024 |  Wing Luke Museum,Wing Luke Museum,Wing Luke Museum,Wing Luke Museum
Olivia Rodrigo,8/6/2024 through 8/7/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Storm vs. Washington Mystics,8/26/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Storm vs. Atlanta Dream,8/28/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Storm vs. New York Liberty,8/30/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024 |  MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture
Poke in the Eye: Art of the West Coast Counterculture,6/21/2024 through 9/2/2024 |  Seattle Art Museum,Seattle Art Museum,Seattle Art Museum,Seattle Art Museum
"Chicago and Earth, Wind & Fire,",9/3/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Storm vs. Phoenix Mercury,9/7/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Sound Check! The Music We Make,Now through 9/14/2024 |  Wing Luke Museum,Wing Luke Museum,Wing Luke Museum,Wing Luke Museum
Seattle Sounders FC vs. Sporting Kansas City,9/15/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field
Seattle Storm vs. Los Angeles Sparks,9/15/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Storm vs. Las Vegas Aces,9/17/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Seattle Sounders FC vs. San Jose Earthquakes,9/18/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field
Seatle Sounders FC vs. Houston Dynamo,9/28/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field
Raul de Nieves,Now through 9/30/2024 |  Henry Art Gallery,Henry Art Gallery,Henry Art Gallery,Henry Art Gallery
Seattle Sounders FC vs. Portland Timbers,10/19/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field
Sebastian Maniscalco,10/25/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Frye Salon,Now through 10/27/2024 |  Frye Art Museum,Frye Art Museum,Frye Art Museum,Frye Art Museum
On Native Land: Landscapes from the Haub Family Collection,Now through 11/17/2024 |  Tacoma Art Museum,Tacoma Art Museum,Tacoma Art Museum,Tacoma Art Museum
Joyce J. Scott: Walk a Mile in My Dreams,10/17/2024 through 1/20/2025 |  Seattle Art Museum,Seattle Art Museum,Seattle Art Museum,Seattle Art Museum
Washi Transformed New Expressions in Japanese Paper,2/2/2024 through 4/26/2026 |  Bellevue Arts Museum,Bellevue Arts Museum,Bellevue Arts Museum,Bellevue Arts Museum
Explore The Market,Ongoing |  Pike Place Market,Pike Place Market,Pike Place Market,Pike Place Market
Olympic Sculpture Park,Ongoing |  Olympic Sculpture Park,Olympic Sculpture Park,Olympic Sculpture Park,Olympic Sculpture Park
Infinite Worlds of Science Fiction,Ongoing |  MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture
"Wild Blue Angel: Hendrix Abroad, 1966-70",Ongoing |  MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture
John Grade: Middle Fork,Ongoing |  Seattle Art Museum,Seattle Art Museum,Seattle Art Museum,Seattle Art Museum
Scared to Death: The Thrill of Horror Film,Ongoing |  MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture
Nirvana: Taking Punk To the Masses,Ongoing |  MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture
Vietnam Divided: War Above Southeast Asia,Ongoing |  The Museum of Flight,The Museum of Flight,The Museum of Flight,The Museum of Flight
Science Fiction and Fantasy Hall of Fame,Ongoing |  MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing |  Wing Luke Museum,Wing Luke Museum,Wing Luke Museum,Wing Luke Museum
Honoring Our Journey,Ongoing |  Wing Luke Museum,Wing Luke Museum,Wing Luke Museum,Wing Luke Museum
Spotlight on Dale Chihuly: Works from Museum of Glass Permanent Collection,Ongoing |  Museum of Glass,Museum of Glass,Museum of Glass,Museum of Glass
Great Hall of Washington History,Ongoing |  Washington State History Museum,Washington State History Museum,Washington State History Museum,Washington State History Museum
Humboldt Penguin Exhibit,Ongoing |  Woodland Park Zoo,Woodland Park Zoo,Woodland Park Zoo,Woodland Park Zoo
Giant Pacific Octopus,Ongoing |  Seattle Aquarium,Seattle Aquarium,Seattle Aquarium,Seattle Aquarium
Meet our Marine Mammals,Ongoing |  Seattle Aquarium,Seattle Aquarium,Seattle Aquarium,Seattle Aquarium
Window on Washington Waters,Ongoing |  Seattle Aquarium,Seattle Aquarium,Seattle Aquarium,Seattle Aquarium
Guitar Gallery,Ongoing |  MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture,MoPOP Museum of Pop Culture
Nordic Journeys,Ongoing |  National Nordic Museum,National Nordic Museum,National Nordic Museum,National Nordic Museum
Baird’s beaked whale,Ongoing |  Burke Museum,Burke Museum,Burke Museum,Burke Museum
Amazing Life,Ongoing |  Burke Museum,Burke Museum,Burke Museum,Burke Museum
